20070612_063730 229.6299_0A 229.7132_0B 20070612_063730 336.85 1.786 7.85 59.00 75.00 7.78 0.800 -4.015 7.601 6.104 -11.557 -4.53 71.38 63.50 8.93 0.260 -3.954 11.223 4.859 -13.792 
20070612_063730 229.6299_0A 229.7132_0B 20070612_070730 336.85 1.915 7.85 59.00 75.50 7.52 0.860 -4.223 8.008 6.463 -12.256 -4.53 71.38 62.50 9.31 0.260 -4.330 12.195 5.742 -16.172 
20070612_063730 229.6299_0A 229.7132_0B 20070612_073730 336.85 2.001 7.85 59.00 75.00 7.78 0.900 -4.370 8.273 6.662 -12.612 -4.53 71.38 62.50 9.31 0.280 -4.473 12.598 5.408 -15.232 
20070612_063730 229.6299_0A 229.7132_0B 20070612_080730 336.85 2.086 7.85 59.00 75.00 7.78 0.940 -4.540 8.596 7.068 -13.381 -4.53 71.38 63.00 9.12 0.320 -4.843 13.692 6.357 -17.974 
20070612_063730 229.6299_0A 229.7132_0B 20070612_083730 335.85 2.111 7.85 58.00 75.00 8.00 1.000 -4.740 8.727 7.699 -14.174 -4.53 70.38 63.00 9.57 0.380 -4.980 13.407 6.406 -17.247 
20070612_063730 229.6299_0A 229.7132_0B 20070612_090730 336.85 2.412 7.85 59.00 75.00 7.78 1.090 -4.896 9.270 8.264 -15.646 -4.53 71.38 63.50 8.93 0.360 -5.212 14.794 6.725 -19.087 
20070612_063730 229.6299_0A 229.7132_0B 20070612_093730 336.85 2.476 7.85 59.00 74.00 8.31 1.120 -5.027 9.485 8.446 -15.934 -4.53 71.38 64.00 8.75 0.350 -5.459 15.554 6.758 -19.254 
20070612_063730 229.6299_0A 229.7132_0B 20070612_100730 337.85 2.694 7.85 60.00 74.00 8.08 1.160 -5.240 10.178 8.700 -16.896 -4.53 72.38 63.50 8.49 0.340 -5.783 17.291 6.994 -20.914 
20070612_063730 229.6299_0A 229.7132_0B 20070612_103730 336.85 2.669 7.85 59.00 74.50 8.05 1.210 -5.399 10.204 8.823 -16.675 -4.53 71.38 65.00 8.38 0.400 -6.191 17.769 8.028 -23.039 
20070612_063730 229.6299_0A 229.7132_0B 20070612_110730 336.85 2.578 7.85 59.00 74.50 8.05 1.170 -5.589 10.563 8.935 -16.886 -4.53 71.38 65.50 8.19 0.360 -6.324 18.214 7.580 -21.830 
20070612_063730 229.6299_0A 229.7132_0B 20070612_113730 297.89 1.222 7.85 20.04 75.00 13.72 1.200 -5.818 6.169 9.262 -9.820 -4.53 32.42 71.50 15.21 0.330 -6.504 7.592 7.424 -8.667 
20070612_063730 229.6299_0A 229.7132_0B 20070612_120730 293.85 1.240 7.85 16.00 74.50 14.44 1.230 -6.005 6.230 9.566 -9.924 -4.53 28.38 71.50 15.77 0.270 -6.665 7.489 7.557 -8.492 
20070612_063730 229.6299_0A 229.7132_0B 20070612_123730 290.85 1.255 7.85 13.00 74.00 15.06 1.250 -6.086 6.234 9.625 -9.859 -4.53 25.38 270.00 -0.00 0.230 -6.827 7.556 0.000 -0.000 
20070612_063730 229.6299_0A 229.7132_0B 20070612_130730 289.84 1.355 7.85 11.99 74.00 15.11 1.350 -6.076 6.202 9.693 -9.893 -4.53 24.37 79.00 9.89 0.230 -7.414 8.114 0.000 -0.000 
20070612_063730 229.6299_0A 229.7132_0B 20070612_133730 291.37 1.367 7.85 13.52 74.00 15.03 1.360 -6.151 6.313 9.512 -9.763 -4.53 25.90 78.50 10.21 0.260 -7.740 8.571 0.000 -0.000 
20070622_133730 240.0049_0A 240.0257_0B 20070622_133730 314.18 0.369 8.88 35.30 68.50 17.02 0.320 -3.481 4.168 5.332 -6.385 -5.38 49.56 71.50 11.97 0.240 -4.259 6.372 3.574 -5.347 
20070622_133730 240.0049_0A 240.0257_0B 20070622_140730 297.88 0.367 8.88 19.00 68.50 19.24 0.360 -3.780 3.969 5.765 -6.053 -5.38 33.26 70.00 16.23 0.330 -4.623 5.430 6.848 -8.045 
20070622_133730 240.0049_0A 240.0257_0B 20070622_143730 312.88 0.485 8.88 34.00 69.00 16.87 0.430 -4.078 4.819 6.527 -7.713 -5.38 48.26 68.00 14.56 0.330 -4.946 7.132 7.183 -10.359 
20070622_133730 240.0049_0A 240.0257_0B 20070622_150730 309.88 0.502 8.88 31.00 69.50 16.97 0.460 -4.334 4.974 7.100 -8.147 -5.38 45.26 68.50 14.96 0.370 -5.519 7.570 8.141 -11.167 
20070622_133730 240.0049_0A 240.0257_0B 20070622_153730 317.22 0.572 8.88 38.34 70.00 15.35 0.480 -4.671 5.820 7.934 -9.886 -5.38 52.60 69.50 12.49 0.340 -5.819 9.203 8.141 -12.875 
20070622_133730 240.0049_0A 240.0257_0B 20070622_160730 319.18 0.614 8.88 40.30 71.50 13.89 0.500 -5.004 6.421 8.628 -11.073 -5.38 54.56 70.50 11.37 0.340 -6.202 10.293 8.275 -13.733 
20070622_133730 240.0049_0A 240.0257_0B 20070622_163730 320.88 0.595 8.88 42.00 71.50 13.57 0.470 -5.248 6.901 8.708 -11.450 -5.38 56.26 71.50 10.36 0.310 -6.478 11.249 8.450 -14.674 
20070622_133730 240.0049_0A 240.0257_0B 20070622_170730 329.88 0.782 8.88 51.00 71.50 11.64 0.490 -5.451 8.395 9.175 -14.129 -5.38 65.26 71.50 7.90 0.250 -6.697 15.323 8.391 -19.198 
20070622_133730 240.0049_0A 240.0257_0B 20070622_173730 333.35 0.902 8.88 54.46 72.00 10.51 0.500 -5.649 9.407 9.536 -15.881 -5.38 68.72 72.50 6.49 0.220 -7.009 18.541 8.336 -22.051 
20070622_133730 240.0049_0A 240.0257_0B 20070622_180730 334.88 0.921 8.88 56.00 71.50 10.42 0.480 -5.888 10.159 9.793 -16.896 -5.38 70.26 75.00 5.15 0.180 -7.259 20.842 8.306 -23.848 
